location,lat,long,alt,year,bloom_date,bloom_doy,Date_doy_tavg,Date_doy_tmax,Date_doy_tmin,tavg_below_5,tavg_above_10,tavg_moving,tmin_moving,tmax_moving,prcp.-2,prcp.-1,prcp.0,prcp.1,prcp.2,tavg.-2,tavg.-1,tavg.0,tavg.1,tavg.2,tmax.-2,tmax.-1,tmax.0,tmax.1,tmax.2,tmin.-2,tmin.-1,tmin.0,tmin.1,tmin.2,long.y,long.x,slope,dg2_coef,intc,tavg.3,tmin.3,tmax.3
29890,48.91993,-122.640564,10.0,2019,5/11/2019,131,47,47,47,62,2.0,-8.5714,-41.9286,24.8571,17.0,19.0,20.0,15.0,4.0,105.96774193548387,84.96666666666667,60.32258064516129,61.54838709677419,15.214285714285714,148.32258064516128,117.86666666666666,89.12903225806451,95.03225806451613,48.25,63.67741935483871,52.233333333333334,31.516129032258064,28.29032258064516,-17.964285714285715,-0.8420707494689135,-0.5393670854704266,0.1295652173913035,-0.028944968075401853,27.25376811594207,35.18181818181818,-10.0,80.27272727272727
29890,48.91993,-122.640564,10.0,2020,5/9/2020,130,19,19,19,44,0.0,10.5714,-19.9286,41.0,14.0,14.0,23.0,22.0,19.0,92.74193548387096,72.93333333333334,58.41935483870968,47.96774193548387,56.06896551724138,130.0,108.6,79.12903225806451,75.61290322580645,87.37931034482759,55.74193548387097,37.2,37.54838709677419,20.161290322580644,24.79310344827586,-0.8420707494689135,-0.5393670854704266,-0.25032015709041194,0.018789189599400437,73.0238623751387,58.72727272727273,27.272727272727273,90.27272727272727
32789,40.73082,-73.99733,6.0,2019,4/16/2019,106,33,22,33,188,10.0,-24.7483,-71.4286,0.0,22.0,30.0,26.0,20.0,24.0,140.05525162419355,67.82436287999998,44.63613361596775,2.703518414064517,22.92825876007143,174.93548387096774,98.53333333333333,74.70967741935483,39.12903225806452,59.214285714285715,110.41935483870968,39.233333333333334,15.806451612903226,-32.67741935483871,-11.678571428571429,-0.9612488501135924,0.2756821505924827,-1.0470267270191473,0.0645426128506803,75.59067778122291,8.663593450727273,-22.0,39.54545454545455
32789,40.73082,-73.99733,6.0,2020,4/27/2020,118,30,30,30,71,8.0,17.6321,-15.0,51.2857,15.0,9.0,14.0,9.0,9.0,151.9517819806452,64.31002644499999,34.89952611022581,38.975542645290325,44.16664936258621,190.2258064516129,103.4,63.83870967741935,73.54838709677419,80.55172413793103,119.93548387096774,28.766666666666666,6.67741935483871,6.290322580645161,10.172413793103448,-0.9612488501135924,0.2756821505924827,1.1644956287771766,0.12269854470959986,-4.88052240881007,78.48107044945455,40.45454545454545,121.18181818181819
32789,40.73082,-73.99733,6.0,2021,4/14/2021,104,34,52,33,160,8.0,-12.2409,-41.2857,0.0,22.0,16.0,20.0,18.0,30.0,141.02798451612904,113.64998588226665,39.44302121564516,15.74917291809678,12.686122580000003,177.25806451612902,154.6,72.70967741935483,42.70967741935484,38.67857142857143,110.3225806451613,78.2,7.838709677419355,-11.483870967741936,-13.857142857142858,-0.9612488501135924,0.2756821505924827,1.8095494251467517,0.1126380485714574,-72.12756345114457,39.65492461318181,-2.909090909090909,86.36363636363636
37739,40.992794,-73.662766,10.0,2020,5/2/2020,123,30,30,30,106,3.0,-7.6562,-47.6429,34.0,15.0,9.0,12.0,9.0,11.0,131.53332500322577,45.06793464846667,23.41605547806452,17.434618581000002,21.919603214517245,179.5483870967742,95.26666666666667,72.4369501451613,59.774193548387096,62.310344827586206,90.90322580645162,-0.16666666666666666,-21.564516129161287,-22.29032258064516,-16.06896551724138,-0.959622696404104,0.2812903847381152,1.2690844596055735,0.13639081842024695,-31.600604586742126,59.29960605945453,14.787878788181816,109.18181818181819
43987,47.208603,-122.473312,90.0,2021,5/5/2021,125,51,46,51,52,0.0,0.0,0.0,0.0,11.0,22.0,20.0,21.0,16.0,109.11508665645161,70.48413149233333,55.67921440958064,54.58608316000001,42.71353626296428,144.4516129032258,96.63333333333334,83.6774193548387,78.70967741935483,69.67857142857143,78.09677419354838,45.7,28.903225806451612,30.93548387096774,16.357142857142858,-0.8436416249606496,-0.5369067038450485,-0.21766149505263258,-0.023001810683526004,67.6469047216843,55.94174508181818,15.181818181818182,101.0909090909091
Japan/Kagoshima,31.555,130.548055555556,3.9,1953,1953-04-08,98,25,26,9,24,31.0,0.0,0.0,0.0,7.0,9.0,13.0,14.0,9.0,186.1352843648972,176.01769633808442,90.01397288650199,59.516129032258064,84.89285714285714,242.90322580645162,224.96666666666667,143.6451612903226,110.90322580645162,133.28571428571428,123.58064516129032,125.1,31.70967741935484,14.806451612903226,34.5,0.7598609881574853,-0.6500855933462377,1.721985815602838,0.017381843410983342,6.510021584952098,118.72727272727273,73.18181818181819,171.0909090909091
Japan/Kagoshima,31.555,130.548055555556,3.9,1954,1954-04-08,98,38,38,40,11,48.0,0.0,0.0,0.0,10.0,11.0,12.0,21.0,14.0,198.29032258064515,136.9,109.0,93.64516129032258,93.89285714285714,256.741935483871,193.93333333333334,163.32258064516128,137.6451612903226,147.03571428571428,149.80645161290323,91.03333333333333,68.64516129032258,53.0,42.5,0.7598609881574853,-0.6500855933462377,0.9435160427807499,-0.1192103674314303,57.353163992869746,109.72727272727273,68.27272727272727,155.36363636363637
Japan/Kagoshima,31.555,130.548055555556,3.9,1955,1955-04-03,93,18,18,20,19,28.0,0.0,-0.7857,0.0,11.0,6.0,7.0,18.0,16.0,184.51612903225808,153.63333333333333,92.58064516129032,56.774193548387096,88.85714285714286,243.61290322580646,217.63333333333333,149.58064516129033,107.87096774193549,147.5,139.09677419354838,97.56666666666666,46.38709677419355,10.838709677419354,29.571428571428573,0.7598609881574853,-0.6500855933462377,1.3442186744073534,0.016702067201512405,30.609095307208474,123.45454545454545,77.27272727272727,168.8181818181818
Japan/Kagoshima,31.555,130.548055555556,3.9,1956,1956-04-02,93,53,54,54,26,22.0,0.0,0.0,0.0,9.0,8.0,9.0,21.0,9.0,184.8709677419355,122.86666666666666,90.03225806451613,69.29032258064517,63.0,242.38709677419354,188.93333333333334,162.6451612903226,119.38709677419355,123.20689655172414,142.80645161290323,69.13333333333334,34.516129032258064,26.35483870967742,15.827586206896552,0.7598609881574853,-0.6500855933462377,1.1455108359133168,-0.27521929824561214,6.773305813553254,78.0909090909091,38.63636363636363,123.0909090909091
Japan/Kagoshima,31.555,130.548055555556,3.9,1957,1957-04-07,97,-4,-4,-3,32,28.0,0.0,0.0,0.0,10.0,6.0,7.0,12.0,13.0,198.6451612903226,124.43333333333334,65.70967741935483,84.48387096774194,70.32142857142857,250.4516129032258,186.0,121.6774193548387,141.29032258064515,116.78571428571429,155.90322580645162,73.23333333333333,15.548387096774194,37.67741935483871,23.678571428571427,0.7598609881574853,-0.6500855933462377,-0.10296484971981684,0.013792081620646239,86.06501273560879,102.45454545454545,54.72727272727273,147.1818181818182
Japan/Kagoshima,31.555,130.548055555556,3.9,1958,1958-04-03,93,28,28,32,19,31.0,0.0,0.0,0.0,6.0,8.0,14.0,17.0,16.0,171.67741935483872,143.83333333333334,94.3225806451613,73.06451612903226,85.75,238.38709677419354,208.23333333333332,152.38709677419354,121.83870967741936,140.42857142857142,123.48387096774194,92.26666666666667,48.74193548387097,30.032258064516128,35.892857142857146,0.7598609881574853,-0.6500855933462377,0.5718816067653284,0.04443552288135344,57.024312896405924,89.0,44.27272727272727,135.1818181818182
